"business_id","date","description"
"FA0000172","20091029","Wiping cloths: properly used and stored"
"FA0000172","20091029","Hot and cold water available"
"FA0000172","20091029","Hands clean and properly washed gloves used prope"
"FA0000172","20091029","Adequate ventilation and lighting designated area"
"FA0000173",NA,"CATERING - YEAR PERMIT"
"FA0000173",NA,"COMMISSARY, COMM HALL, SOCIAL CLUB - YR PRMIT"
"FA0000180","20151207","Wiping cloths: properly used and stored"
"FA0000180","20151207","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0000180","20150331","Plan Review"
"FA0000180","20150331","Premises personal/cleaning items vermin-proofing"
"FA0000180","20150331","Plumbing proper backflow devices"
"FA0000180","20131108","Toxic substances properly identified, stored, used"
"FA0000180","20131108","No rodents, insects, birds, or animals"
"FA0000180","20131108","Floors, walls and ceilings: built, maintained, and clean"
"FA0000180","20131108","Premises personal/cleaning items vermin-proofing"
"FA0000180","20131108","Plan Review"
"FA0000180","20131108","Sewage and wastewater properly disposed"
"FA0000180","20131108","Food properly labeled & honestly presented"
"FA0000180","20130304","Equipment/Utensils - approved installed clean g"
"FA0000180","20130304","Floors, walls and ceilings: built, maintained, and"
"FA0000180","20121009","Food storage food storage containers identified"
"FA0000180","20120315","Warewashing facilities: installed, maintained, use"
"FA0000180","20110713","Equipment/Utensils - approved installed clean g"
"FA0000180","20110713","Proper hot and cold holding temperatures"
"FA0000180","20110713","Hot and cold water available"
"FA0000180","20110214","Hot and cold water available"
"FA0000180","20110214","Toxic substances properly identified, stored, used"
"FA0000180","20110214","Food contact surfaces: clean and sanitized"
"FA0000180","20091023","Adequate handwashing facilities supplied & accessi"
"FA0000180","20091023","Demonstration of knowledge food manager certifica"
"FA0000180","20091023","Plan Review"
"FA0000180","20091023","Proper eating, tasting, drinking or tobacco use"
"FA0000258","20160105","Plumbing proper backflow devices"
"FA0000258","20160105","Premises personal/cleaning items vermin-proofing"
"FA0000258","20160105","Adequate handwashing facilities supplied & accessible"
"FA0000258","20160105","Food contact surfaces: clean and sanitized"
"FA0000258","20160105","Sewage and wastewater properly disposed"
"FA0000258","20160105","Floors, walls and ceilings: built, maintained, and clean"
"FA0000258","20160105","Toxic substances properly identified, stored, used"
"FA0000258","20140924","Proper hot and cold holding temperatures"
"FA0000258","20140924","Thermometers provided and accurate"
"FA0000258","20140924","Nonfood-contact surfaces clean"
"FA0000258","20140924","Food contact surfaces: clean and sanitized"
"FA0000258","20140924","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0000258","20131029","Premises personal/cleaning items vermin-proofing"
"FA0000258","20131029","Nonfood-contact surfaces clean"
"FA0000258","20131029","Toxic substances properly identified, stored, used"
"FA0000258","20131029","Plumbing proper backflow devices"
"FA0000258","20130327","Sewage and wastewater properly disposed"
"FA0000258","20130327","Proper hot and cold holding temperatures"
"FA0000258","20121008","Equipment/Utensils - approved installed clean g"
"FA0000258","20121008","Floors, walls and ceilings: built, maintained, and"
"FA0000258","20121008","Proper hot and cold holding temperatures"
"FA0000258","20121008","Signs posted last inspection report available"
"FA0000258","20121008","Food storage food storage containers identified"
"FA0000258","20120203","Premises personal/cleaning items vermin-proofing"
"FA0000258","20120203","Food contact surfaces: clean and sanitized"
"FA0000258","20120203","Nonfood-contact surfaces clean"
"FA0000258","20120203","Equipment, utensils and linens: storage and use"
"FA0000258","20120203","Sewage and wastewater properly disposed"
"FA0000258","20110705","Permits Available"
"FA0000258","20110705","Floors, walls and ceilings: built, maintained, and"
"FA0000258","20110705","Food storage food storage containers identified"
"FA0000258","20110105","Food separated and protected"
"FA0000258","20100922","Signs posted last inspection report available"
"FA0000258","20100922","Proper hot and cold holding temperatures"
"FA0000258","20100920","Approved thawing methods used, frozen food"
"FA0000258","20100920","Floors, walls and ceilings: built, maintained, and"
"FA0000258","20100920","Signs posted last inspection report available"
"FA0000258","20100920","Toilet facilities: properly constructed, supplied,"
"FA0000258","20100920","Food storage food storage containers identified"
"FA0000258","20100920","Proper hot and cold holding temperatures"
"FA0000258","20100204","Proper hot and cold holding temperatures"
"FA0000258","20100204","Time as a public health control procedures & reco"
"FA0000258","20100204","Toxic substances properly identified, stored, used"
"FA0000258","20100204","Thermometers provided and accurate"
"FA0000258","20100204","Hot and cold water available"
"FA0000258","20090417","Food contact surfaces: clean and sanitized"
"FA0000258","20090417","Warewashing facilities: installed, maintained, use"
"FA0000258","20090417","Nonfood-contact surfaces clean"
"FA0000258","20090417","Signs posted last inspection report available"
"FA0000258","20080415","Proper hot and cold holding temperatures"
"FA0000258","20080415","Garbage and refuse properly disposed facilities m"
"FA0000258","20080415","Signs posted last inspection report available"
"FA0000258","20080415","Food separated and protected"
"FA0000258","20080415","Person in charge present and performs duties"
"FA0000258","20080415","No rodents, insects, birds, or animals"
"FA0000303","20160219","Hot and cold water available"
"FA0000303","20160219","Floors, walls and ceilings: built, maintained, and clean"
"FA0000303","20160219","Sewage and wastewater properly disposed"
"FA0000303","20160219","Premises personal/cleaning items vermin-proofing"
"FA0000303","20150202","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0000303","20150202","Permits Available"
"FA0000303","20150202","Signs posted last inspection report available"
"FA0000303","20150202","Premises personal/cleaning items vermin-proofing"
"FA0000303","20131216","Nonfood-contact surfaces clean"
"FA0000303","20131216","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0000303","20121204","Floors, walls and ceilings: built, maintained, and"
"FA0000303","20121204","Adequate ventilation and lighting designated area"
"FA0000303","20121204","Equipment, utensils and linens: storage and use"
"FA0000303","20121204","Adequate handwashing facilities supplied & accessi"
"FA0000303","20080521","Demonstration of knowledge food manager certifica"
"FA0000310","20160105","Sewage and wastewater properly disposed"
"FA0000310","20160105","Food contact surfaces: clean and sanitized"
"FA0000310","20160105","Floors, walls and ceilings: built, maintained, and clean"
"FA0000310","20141209","Toxic substances properly identified, stored, used"
"FA0000310","20141209","Toilet facilities: properly constructed, supplied, cleaned"
"FA0000310","20141209","Floors, walls and ceilings: built, maintained, and clean"
"FA0000310","20141209","Plumbing proper backflow devices"
"FA0000310","20141209","Adequate ventilation and lighting designated area, use"
"FA0000310","20141209","Food storage food storage containers identified"
"FA0000310","20141209","Premises personal/cleaning items vermin-proofing"
"FA0000310","20141209","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0000310","20141209","Signs posted last inspection report available"
"FA0000310","20141209","Sewage and wastewater properly disposed"
"FA0000347","20160128","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0000347","20150105","Food contact surfaces: clean and sanitized"
"FA0000409","20151210","Food storage food storage containers identified"
"FA0000409","20151210","Adequate handwashing facilities supplied & accessible"
"FA0000409","20151210","Hands clean and properly washed gloves used properly"
"FA0000409","20151210","Proper hot and cold holding temperatures"
"FA0000409","20151210","Floors, walls and ceilings: built, maintained, and clean"
"FA0000409","20151210","Garbage and refuse properly disposed facilities maintained, and clean"
"FA0000409","20151210","Wiping cloths: properly used and stored"
"FA0000409","20151210","Food contact surfaces: clean and sanitized"
"FA0000409","20151210","Demonstration of knowledge food manager certification"
"FA0000409","20151210","Nonfood-contact surfaces clean"
"FA0000409","20151210","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0000409","20151210","Premises personal/cleaning items vermin-proofing"
"FA0000409","20150115","Proper hot and cold holding temperatures"
"FA0000409","20150115","Toxic substances properly identified, stored, used"
"FA0000409","20150115","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0000409","20150115","Warewashing facilities: installed, maintained, used; test strips"
"FA0000409","20150115","Nonfood-contact surfaces clean"
"FA0000409","20150115","Food contact surfaces: clean and sanitized"
"FA0000409","20150115","Adequate handwashing facilities supplied & accessible"
"FA0000409","20150115","Food separated and protected"
"FA0000409","20140528","Food in good condition, safe and unadulterated"
"FA0000409","20140528","No rodents, insects, birds, or animals"
"FA0000409","20140528","Proper hot and cold holding temperatures"
"FA0000409","20140528","Demonstration of knowledge food manager certification"
"FA0000409","20140528","Adequate handwashing facilities supplied & accessible"
"FA0000409","20140528","Garbage and refuse properly disposed facilities maintained, and clean"
"FA0000409","20140528","Food separated and protected"
"FA0000409","20140528","Food storage food storage containers identified"
"FA0000409","20140528","Floors, walls and ceilings: built, maintained, and clean"
"FA0000409","20140528","Food contact surfaces: clean and sanitized"
"FA0000409","20140528","Nonfood-contact surfaces clean"
"FA0000409","20140528","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0000409","20140528","Plumbing proper backflow devices"
"FA0000409","20140528","Premises personal/cleaning items vermin-proofing"
"FA0000409","20131112","Thermometers provided and accurate"
"FA0000409","20131112","Approved thawing methods used, frozen food"
"FA0000409","20131112","Premises personal/cleaning items vermin-proofing"
"FA0000409","20131112","Sewage and wastewater properly disposed"
"FA0000409","20131112","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0000409","20131112","Toxic substances properly identified, stored, used"
"FA0000409","20130424","Permits Available"
"FA0000409","20130424","Sewage and wastewater properly disposed"
"FA0000409","20130424","Proper hot and cold holding temperatures"
"FA0000409","20130424","Demonstration of knowledge food manager certifica"
"FA0000409","20121023","Food separated and protected"
"FA0000409","20121023","Proper hot and cold holding temperatures"
"FA0000409","20121023","Wiping cloths: properly used and stored"
"FA0000409","20121023","Thermometers provided and accurate"
"FA0000409","20111122","Approved thawing methods used, frozen food"
"FA0000409","20111122","Wiping cloths: properly used and stored"
"FA0000409","20111122","Time as a public health control procedures & reco"
"FA0000409","20111122","Proper hot and cold holding temperatures"
"FA0000409","20111122","Food separated and protected"
"FA0000409","20111122","Adequate handwashing facilities supplied & accessi"
"FA0000409","20111122","Adequate handwashing facilities supplied & accessi"
"FA0000409","20110510","Premises personal/cleaning items vermin-proofing"
"FA0000409","20110510","Toilet facilities: properly constructed, supplied,"
"FA0000409","20110510","Equipment/Utensils - approved installed clean g"
"FA0000409","20110510","Adequate handwashing facilities supplied & accessi"
"FA0000409","20101104","Permits Available"
"FA0000409","20101104","Thermometers provided and accurate"
"FA0000409","20101104","Demonstration of knowledge food manager certifica"
"FA0000409","20101104","Proper hot and cold holding temperatures"
"FA0000409","20101104","Food separated and protected"
"FA0000409","20100517","Proper hot and cold holding temperatures"
"FA0000409","20091027","Food storage food storage containers identified"
"FA0000409","20091027","Floors, walls and ceilings: built, maintained, and"
"FA0000409","20091027","Nonfood-contact surfaces clean"
"FA0000409","20091027","Thermometers provided and accurate"
"FA0000409","20091027","Plumbing proper backflow devices"
"FA0000409","20091027","Demonstration of knowledge food manager certifica"
"FA0000409","20091027","Adequate ventilation and lighting designated area"
"FA0000409","20091027","Permits Available"
"FA0000409","20091027","Proper hot and cold holding temperatures"
"FA0000409","20091027","Hot and cold water available"
"FA0000409","20081126","No rodents, insects, birds, or animals"
"FA0000409","20081126","Warewashing facilities: installed, maintained, use"
"FA0000409","20081126","Adequate ventilation and lighting designated area"
"FA0000409","20081126","Wiping cloths: properly used and stored"
"FA0000409","20081126","Adequate handwashing facilities supplied & accessi"
"FA0000409","20071119","Equipment/Utensils - approved installed clean g"
"FA0000448","20150928","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0000448","20150928","Floors, walls and ceilings: built, maintained, and clean"
"FA0000448","20150928","Sewage and wastewater properly disposed"
"FA0000448","20150928","Demonstration of knowledge food manager certification"
"FA0000448","20150928","Plumbing proper backflow devices"
"FA0000448","20150928","Nonfood-contact surfaces clean"
"FA0000448","20150204","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0000448","20150204","Nonfood-contact surfaces clean"
"FA0000448","20150204","Proper hot and cold holding temperatures"
"FA0000448","20150204","Food in good condition, safe and unadulterated"
"FA0000448","20140618","Food separated and protected"
"FA0000448","20140618","Toxic substances properly identified, stored, used"
"FA0000448","20140618","Hands clean and properly washed gloves used properly"
"FA0000448","20120224","Premises personal/cleaning items vermin-proofing"
"FA0000448","20111025","Premises personal/cleaning items vermin-proofing"
"FA0000448","20110524","Premises personal/cleaning items vermin-proofing"
"FA0000448","20101116","Premises personal/cleaning items vermin-proofing"
"FA0000461","20160108","Nonfood-contact surfaces clean"
"FA0000461","20160108","Floors, walls and ceilings: built, maintained, and clean"
"FA0000461","20160108","Demonstration of knowledge food manager certification"
"FA0000461","20150506","Warewashing facilities: installed, maintained, used; test strips"
"FA0000461","20150506","Sewage and wastewater properly disposed"
"FA0000461","20150506","Proper hot and cold holding temperatures"
"FA0000461","20141030","Proper reheating procedures for hot holding"
"FA0000461","20141030","Proper hot and cold holding temperatures"
"FA0000461","20141030","Warewashing facilities: installed, maintained, used; test strips"
"FA0000461","20141030","Thermometers provided and accurate"
"FA0000461","20130730","Adequate handwashing facilities supplied & accessible"
"FA0000461","20130212","Premises personal/cleaning items vermin-proofing"
"FA0000461","20120201","Proper reheating procedures for hot holding"
"FA0000461","20110203","Proper hot and cold holding temperatures"
"FA0000461","20080423","Time as a public health control procedures & reco"
"FA0000461","20080423","Proper hot and cold holding temperatures"
"FA0000461","20080423","Food in good condition, safe and unadulterated"
"FA0000469","20160121","Proper hot and cold holding temperatures"
"FA0000469","20150727","Proper hot and cold holding temperatures"
"FA0000469","20150128","Proper hot and cold holding temperatures"
"FA0000469","20131004","Premises personal/cleaning items vermin-proofing"
"FA0000469","20131004","Food storage food storage containers identified"
"FA0000469","20131004","Toilet facilities: properly constructed, supplied, cleaned"
"FA0000469","20131004","Floors, walls and ceilings: built, maintained, and clean"
"FA0000469","20090112","Proper hot and cold holding temperatures"
"FA0000469","20090112","Floors, walls and ceilings: built, maintained, and"
"FA0000469","20090112","Hot and cold water available"
"FA0000469","20080304","Floors, walls and ceilings: built, maintained, and"
"FA0000544","20160429","Adequate ventilation and lighting designated area, use"
"FA0000544","20160429","Time as a public health control procedures & records"
"FA0000544","20151021","Proper cooling methods"
"FA0000544","20150317","Thermometers provided and accurate"
"FA0000544","20150317","Adequate handwashing facilities supplied & accessible"
"FA0000544","20141202","Toxic substances properly identified, stored, used"
"FA0000544","20141202","Thermometers provided and accurate"
"FA0000544","20111014","Hot and cold water available"
"FA0000544","20091218","Equipment/Utensils - approved installed clean g"
"FA0000544","20091218","Proper hot and cold holding temperatures"
"FA0000544","20091218","Food contact surfaces: clean and sanitized"
"FA0000544","20080409","Equipment/Utensils - approved installed clean g"
"FA0000544","20080409","Hot and cold water available"
"FA0000544","20071205","Equipment/Utensils - approved installed clean g"
"FA0000544","20071205","Premises personal/cleaning items vermin-proofing"
"FA0000544","20071205","Floors, walls and ceilings: built, maintained, and"
"FA0000544","20071205","No rodents, insects, birds, or animals"
"FA0000576","20160308","Toilet facilities: properly constructed, supplied, cleaned"
"FA0000576","20160308","Thermometers provided and accurate"
"FA0000576","20160308","Floors, walls and ceilings: built, maintained, and clean"
"FA0000576","20160308","Adequate ventilation and lighting designated area, use"
"FA0000576","20160308","Nonfood-contact surfaces clean"
"FA0000576","20160308","Adequate handwashing facilities supplied & accessible"
"FA0000576","20160308","Hot and cold water available"
"FA0000576","20150923","Thermometers provided and accurate"
"FA0000576","20150923","Demonstration of knowledge food manager certification"
"FA0000576","20150923","Adequate handwashing facilities supplied & accessible"
"FA0000576","20150923","Food contact surfaces: clean and sanitized"
"FA0000576","20150114","Equipment, utensils and linens: storage and use"
"FA0000576","20150114","Floors, walls and ceilings: built, maintained, and clean"
"FA0000576","20140312","Plumbing proper backflow devices"
"FA0000576","20140312","Toxic substances properly identified, stored, used"
"FA0000576","20140312","Hot and cold water available"
"FA0000576","20140312","Premises personal/cleaning items vermin-proofing"
"FA0000576","20140312","Adequate handwashing facilities supplied & accessible"
"FA0000576","20140312","Warewashing facilities: installed, maintained, used; test strips"
"FA0000576","20140312","Sewage and wastewater properly disposed"
"FA0000576","20130726","Premises personal/cleaning items vermin-proofing"
"FA0000576","20130726","Premises personal/cleaning items vermin-proofing"
"FA0000576","20130726","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0000576","20130726","Floors, walls and ceilings: built, maintained, and clean"
"FA0000576","20130726","Demonstration of knowledge food manager certification"
"FA0000576","20120917","Signs posted last inspection report available"
"FA0000576","20120917","Toilet facilities: properly constructed, supplied,"
"FA0000576","20120917","Floors, walls and ceilings: built, maintained, and"
"FA0000576","20120917","Hot and cold water available"
"FA0000576","20120210","Demonstration of knowledge food manager certifica"
"FA0000576","20111220","Floors, walls and ceilings: built, maintained, and"
"FA0000576","20091217","Equipment, utensils and linens: storage and use"
"FA0000576","20091217","Adequate handwashing facilities supplied & accessi"
"FA0000576","20091217","Hot and cold water available"
"FA0000576","20091217","Toxic substances properly identified, stored, used"
"FA0000576","20091217","Adequate ventilation and lighting designated area"
"FA0000576","20091217","Warewashing facilities: installed, maintained, use"
"FA0000576","20091217","Toilet facilities: properly constructed, supplied,"
"FA0000576","20091217","Demonstration of knowledge food manager certifica"
"FA0000576","20091217","Floors, walls and ceilings: built, maintained, and"
"FA0000576","20091217","Garbage and refuse properly disposed facilities m"
"FA0000576","20080731","Permits Available"
"FA0000576","20080731","Demonstration of knowledge food manager certifica"
"FA0000592","20160112","Signs posted last inspection report available"
"FA0000592","20160112","Premises personal/cleaning items vermin-proofing"
"FA0000592","20160112","Food contact surfaces: clean and sanitized"
"FA0000592","20131125","Floors, walls and ceilings: built, maintained, and clean"
"FA0000592","20131125","Premises personal/cleaning items vermin-proofing"
"FA0000592","20130517","Hot and cold water available"
"FA0000592","20121102","No rodents, insects, birds, or animals"
"FA0000592","20121102","Premises personal/cleaning items vermin-proofing"
"FA0000592","20121102","Nonfood-contact surfaces clean"
"FA0000592","20120306","Premises personal/cleaning items vermin-proofing"
"FA0000592","20120306","Food storage food storage containers identified"
"FA0000592","20120306","Adequate ventilation and lighting designated area"
"FA0000592","20120306","Nonfood-contact surfaces clean"
"FA0000592","20110217","Proper hot and cold holding temperatures"
"FA0000592","20110217","Toilet facilities: properly constructed, supplied,"
"FA0000592","20110217","Signs posted last inspection report available"
"FA0000592","20110124","Plan Review"
"FA0000592","20100920","Proper hot and cold holding temperatures"
"FA0000592","20100910","Proper hot and cold holding temperatures"
"FA0000592","20100317","Proper hot and cold holding temperatures"
"FA0000592","20100317","Premises personal/cleaning items vermin-proofing"
"FA0000592","20100317","Plan Review"
"FA0000592","20100317","Hot and cold water available"
"FA0000592","20090318","Floors, walls and ceilings: built, maintained, and"
"FA0000592","20090318","Food storage food storage containers identified"
"FA0000592","20090318","Adequate handwashing facilities supplied & accessi"
"FA0000592","20080229","Permits Available"
"FA0000592","20080229","Proper cooking time & temperatures"
"FA0000592","20080229","Food separated and protected"
"FA0000592","20080229","Toilet facilities: properly constructed, supplied,"
"FA0001016","20160114","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0001016","20160114","Demonstration of knowledge food manager certification"
"FA0001016","20160114","Proper reheating procedures for hot holding"
"FA0001016","20160114","Warewashing facilities: installed, maintained, used; test strips"
"FA0001016","20160114","Approved thawing methods used, frozen food"
"FA0001016","20141210","Proper hot and cold holding temperatures"
"FA0001016","20141210","Demonstration of knowledge food manager certification"
"FA0001016","20141210","Nonfood-contact surfaces clean"
"FA0001016","20140319","Hot and cold water available"
"FA0001016","20140319","Hands clean and properly washed gloves used properly"
"FA0001016","20140319","Plumbing proper backflow devices"
"FA0001016","20140319","Signs posted last inspection report available"
"FA0001016","20140319","Floors, walls and ceilings: built, maintained, and clean"
"FA0001016","20140319","Adequate handwashing facilities supplied & accessible"
"FA0001016","20130829","Floors, walls and ceilings: built, maintained, and clean"
"FA0001016","20130829","Floors, walls and ceilings: built, maintained, and clean"
"FA0001016","20120111","Plumbing proper backflow devices"
"FA0001016","20120111","Adequate ventilation and lighting designated area"
"FA0001016","20120111","Adequate handwashing facilities supplied & accessi"
"FA0001018","20151207","Nonfood-contact surfaces clean"
"FA0001018","20131119","Permits Available"
"FA0001018","20131119","Proper hot and cold holding temperatures"
"FA0001020","20160128","Wiping cloths: properly used and stored"
"FA0001020","20160128","Proper cooling methods"
"FA0001020","20160128","Approved thawing methods used, frozen food"
"FA0001020","20160128","Food contact surfaces: clean and sanitized"
"FA0001020","20160128","Food storage food storage containers identified"
"FA0001020","20160128","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0001020","20160128","Proper hot and cold holding temperatures"
"FA0001020","20150709","Food properly labeled & honestly presented"
"FA0001020","20150709","Equipment, utensils and linens: storage and use"
"FA0001020","20150709","Premises personal/cleaning items vermin-proofing"
"FA0001020","20150709","Food storage food storage containers identified"
"FA0001020","20150709","Demonstration of knowledge food manager certification"
"FA0001020","20150709","Food contact surfaces: clean and sanitized"
"FA0001020","20150115","Adequate handwashing facilities supplied & accessible"
"FA0001020","20150115","Food separated and protected"
"FA0001020","20150115","Demonstration of knowledge food manager certification"
"FA0001020","20150115","Food storage food storage containers identified"
"FA0001020","20150115","Food contact surfaces: clean and sanitized"
"FA0001020","20140513","Floors, walls and ceilings: built, maintained, and clean"
"FA0001020","20131010","Premises personal/cleaning items vermin-proofing"
"FA0001020","20131010","Food contact surfaces: clean and sanitized"
"FA0001020","20131010","Food storage food storage containers identified"
"FA0001020","20131010","Nonfood-contact surfaces clean"
"FA0001020","20131010","Floors, walls and ceilings: built, maintained, and clean"
"FA0001020","20130131","Food separated and protected"
"FA0001020","20120625","Food separated and protected"
"FA0001020","20120625","Premises personal/cleaning items vermin-proofing"
"FA0001020","20111209","Demonstration of knowledge food manager certifica"
"FA0001020","20110104","Approved thawing methods used, frozen food"
"FA0001020","20110104","Food properly labeled & honestly presented"
"FA0001020","20110104","Food storage food storage containers identified"
"FA0001020","20110104","Wiping cloths: properly used and stored"
"FA0001020","20110104","Premises personal/cleaning items vermin-proofing"
"FA0001020","20110104","Demonstration of knowledge food manager certifica"
"FA0001020","20110104","Adequate handwashing facilities supplied & accessi"
"FA0001020","20110104","Food in good condition, safe and unadulterated"
"FA0001020","20100915","Permits Available"
"FA0001020","20091109","Food storage food storage containers identified"
"FA0001020","20091109","Garbage and refuse properly disposed facilities m"
"FA0001020","20091109","Proper hot and cold holding temperatures"
"FA0001020","20091109","Adequate ventilation and lighting designated area"
"FA0001020","20080229","Food storage food storage containers identified"
"FA0001020","20080229","Equipment/Utensils - approved installed clean g"
"FA0001020","20080229","Adequate handwashing facilities supplied & accessi"
"FA0001020","20080229","Food separated and protected"
"FA0001049","20160121","Proper cooling methods"
"FA0001049","20160121","Floors, walls and ceilings: built, maintained, and clean"
"FA0001049","20150716","Proper hot and cold holding temperatures"
"FA0001049","20150716","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0001049","20150716","Food contact surfaces: clean and sanitized"
"FA0001049","20150716","Nonfood-contact surfaces clean"
"FA0001049","20150716","Floors, walls and ceilings: built, maintained, and clean"
"FA0001049","20150128","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0001049","20150128","Proper hot and cold holding temperatures"
"FA0001049","20140625","Food storage food storage containers identified"
"FA0001049","20140625","Proper hot and cold holding temperatures"
"FA0001049","20140625","Food contact surfaces: clean and sanitized"
"FA0001049","20130919","Nonfood-contact surfaces clean"
"FA0001049","20130919","Food storage food storage containers identified"
"FA0001049","20130919","Premises personal/cleaning items vermin-proofing"
"FA0001049","20130919","Floors, walls and ceilings: built, maintained, and clean"
"FA0001049","20130318","Food separated and protected"
"FA0001049","20130318","Nonfood-contact surfaces clean"
"FA0001049","20120229","Proper hot and cold holding temperatures"
"FA0001049","20111104","Thermometers provided and accurate"
"FA0001049","20111104","Demonstration of knowledge food manager certifica"
"FA0001049","20101119","Food properly labeled & honestly presented"
"FA0001049","20101119","Food storage food storage containers identified"
"FA0001049","20101119","Food contact surfaces: clean and sanitized"
"FA0001049","20101119","Demonstration of knowledge food manager certifica"
"FA0001049","20101119","Food separated and protected"
"FA0001049","20100420","Food contact surfaces: clean and sanitized"
"FA0001049","20090114","Thermometers provided and accurate"
"FA0001049","20090114","Food separated and protected"
"FA0001049","20080305","Demonstration of knowledge food manager certifica"
"FA0001049","20080305","Adequate ventilation and lighting designated area"
"FA0001049","20080305","Wiping cloths: properly used and stored"
"FA0001049","20080305","Floors, walls and ceilings: built, maintained, and"
"FA0001049","20080305","Warewashing facilities: installed, maintained, use"
"FA0001050","20160129","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0001050","20111018","Time as a public health control procedures & reco"
"FA0001056","20151202","Thermometers provided and accurate"
"FA0001056","20151202","Nonfood-contact surfaces clean"
"FA0001056","20151202","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0001056","20151202","Adequate handwashing facilities supplied & accessible"
"FA0001056","20151202","Floors, walls and ceilings: built, maintained, and clean"
"FA0001056","20151202","Proper cooling methods"
"FA0001056","20151202","Premises personal/cleaning items vermin-proofing"
"FA0001056","20150508","Premises personal/cleaning items vermin-proofing"
"FA0001056","20150508","Food storage food storage containers identified"
"FA0001056","20150508","Food contact surfaces: clean and sanitized"
"FA0001056","20141105","Nonfood-contact surfaces clean"
"FA0001056","20141105","Thermometers provided and accurate"
"FA0001056","20141105","Wiping cloths: properly used and stored"
"FA0001056","20141105","Food contact surfaces: clean and sanitized"
"FA0001056","20141105","Floors, walls and ceilings: built, maintained, and clean"
"FA0001056","20141105","Equipment, utensils and linens: storage and use"
"FA0001056","20141105","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0001056","20141105","Demonstration of knowledge food manager certification"
"FA0001056","20140114","Garbage and refuse properly disposed facilities maintained, and clean"
"FA0001056","20140114","Premises personal/cleaning items vermin-proofing"
"FA0001056","20140114","Nonfood-contact surfaces clean"
"FA0001056","20130712","Proper hot and cold holding temperatures"
"FA0001056","20130712","Equipment/Utensils - approved installed clean good repair, capacity"
"FA0001056","20121211","Adequate ventilation and lighting designated area"
"FA0001056","20121211","Nonfood-contact surfaces clean"
"FA0001056","20121211","Demonstration of knowledge food manager certifica"
